ctime,relname,pid,mode,granted
1418068735.98029,customer,675,RowExclusiveLock,t
1418068735.98029,lineitem,679,RowExclusiveLock,t
1418068735.98029,orders,676,RowExclusiveLock,t
1418068735.98029,part,677,ExclusiveLock,t
1418068735.98029,part,677,RowExclusiveLock,t
1418068735.98029,partsupp,678,ExclusiveLock,t
1418068735.98029,partsupp,678,RowExclusiveLock,t
1418068735.98029,pg_locks,680,AccessShareLock,t
1418068735.98029,pg_stat_activity,684,AccessShareLock,t
1418068735.98029,pg_stat_all_indexes,686,AccessShareLock,t
1418068735.98029,pg_stat_all_tables,685,AccessShareLock,t
1418068735.98029,pg_stat_database,682,AccessShareLock,t
1418068735.98029,pg_statio_all_indexes,686,AccessShareLock,t
1418068735.98029,pg_statio_all_tables,685,AccessShareLock,t
1418068735.98029,supplier,672,RowExclusiveLock,t
1418068795.98205,lineitem,679,RowExclusiveLock,t
1418068795.98205,orders,676,RowExclusiveLock,t
1418068795.98205,part,720,ShareLock,t
1418068795.98205,partsupp,678,RowExclusiveLock,t
1418068795.98205,partsupp,678,ExclusiveLock,t
1418068795.98205,pg_locks,734,AccessShareLock,t
1418068795.98205,pg_stat_activity,735,AccessShareLock,t
1418068795.98205,pg_stat_all_indexes,737,AccessShareLock,t
1418068795.98205,pg_stat_all_tables,736,AccessShareLock,t
1418068795.98205,pg_stat_database,733,AccessShareLock,t
1418068795.98205,pg_statio_all_indexes,737,AccessShareLock,t
1418068795.98205,pg_statio_all_tables,736,AccessShareLock,t
1418068855.98458,lineitem,679,RowExclusiveLock,t
1418068855.98458,orders,676,ExclusiveLock,t
1418068855.98458,orders,676,RowExclusiveLock,t
1418068855.98458,partsupp,764,ShareLock,t
1418068855.98458,partsupp,764,AccessExclusiveLock,t
1418068855.98458,pg_locks,776,AccessShareLock,t
1418068855.98458,pg_stat_all_indexes,775,AccessShareLock,t
1418068855.98458,pg_stat_all_tables,772,AccessShareLock,t
1418068855.98458,pg_stat_database,773,AccessShareLock,t
1418068855.98458,pg_statio_all_indexes,775,AccessShareLock,t
1418068855.98458,pg_statio_all_tables,772,AccessShareLock,t
1418068915.98955,lineitem,679,RowExclusiveLock,t
1418068915.98955,orders,676,RowExclusiveLock,t
1418068915.98955,pg_locks,789,AccessShareLock,t
1418068915.98955,pg_stat_activity,787,AccessShareLock,t
1418068915.98955,pg_stat_all_indexes,791,AccessShareLock,t
1418068915.98955,pg_stat_all_tables,790,AccessShareLock,t
1418068915.98955,pg_stat_database,788,AccessShareLock,t
1418068915.98955,pg_statio_all_indexes,791,AccessShareLock,t
1418068915.98955,pg_statio_all_tables,790,AccessShareLock,t
1418068975.98727,lineitem,679,RowExclusiveLock,t
1418068975.98727,orders,797,ShareLock,t
1418068975.98727,orders,796,ShareLock,t
1418068975.98727,pg_locks,806,AccessShareLock,t
1418068975.98727,pg_stat_activity,809,AccessShareLock,t
1418068975.98727,pg_stat_all_indexes,808,AccessShareLock,t
1418068975.98727,pg_stat_all_tables,810,AccessShareLock,t
1418068975.98727,pg_stat_database,807,AccessShareLock,t
1418068975.98727,pg_statio_all_indexes,808,AccessShareLock,t
1418068975.98727,pg_statio_all_tables,810,AccessShareLock,t
1418069035.98969,lineitem,679,ExclusiveLock,t
1418069035.98969,lineitem,679,RowExclusiveLock,t
1418069035.98969,pg_locks,823,AccessShareLock,t
1418069035.98969,pg_stat_activity,824,AccessShareLock,t
1418069035.98969,pg_stat_all_indexes,821,AccessShareLock,t
1418069035.98969,pg_stat_all_tables,825,AccessShareLock,t
1418069035.98969,pg_stat_database,822,AccessShareLock,t
1418069035.98969,pg_statio_all_indexes,821,AccessShareLock,t
1418069035.98969,pg_statio_all_tables,825,AccessShareLock,t
1418069095.99258,lineitem,679,RowExclusiveLock,t
1418069095.99258,pg_locks,836,AccessShareLock,t
1418069095.99258,pg_stat_database,834,AccessShareLock,t
1418069095.99258,pg_statio_all_tables,835,AccessShareLock,t
1418069155.99714,lineitem,679,RowExclusiveLock,t
1418069155.99714,pg_locks,848,AccessShareLock,t
1418069155.99714,pg_stat_all_indexes,851,AccessShareLock,t
1418069155.99714,pg_stat_all_tables,850,AccessShareLock,t
1418069155.99714,pg_stat_database,849,AccessShareLock,t
1418069155.99714,pg_statio_all_indexes,851,AccessShareLock,t
1418069155.99714,pg_statio_all_tables,850,AccessShareLock,t
1418069216.0002,lineitem,679,RowExclusiveLock,t
1418069216.0002,pg_locks,862,AccessShareLock,t
1418069216.0002,pg_stat_activity,863,AccessShareLock,t
1418069216.0002,pg_stat_all_indexes,861,AccessShareLock,t
1418069216.0002,pg_stat_all_tables,860,AccessShareLock,t
1418069216.0002,pg_stat_database,864,AccessShareLock,t
1418069216.0002,pg_statio_all_indexes,861,AccessShareLock,t
1418069216.0002,pg_statio_all_tables,860,AccessShareLock,t
1418069276.00097,lineitem,679,RowExclusiveLock,t
1418069276.00097,pg_locks,875,AccessShareLock,t
1418069276.00097,pg_stat_activity,876,AccessShareLock,t
1418069276.00097,pg_stat_all_indexes,873,AccessShareLock,t
1418069276.00097,pg_stat_all_tables,877,AccessShareLock,t
1418069276.00097,pg_stat_database,874,AccessShareLock,t
1418069276.00097,pg_statio_all_indexes,873,AccessShareLock,t
1418069276.00097,pg_statio_all_tables,877,AccessShareLock,t
1418069336.00445,lineitem,679,RowExclusiveLock,t
1418069336.00445,pg_locks,890,AccessShareLock,t
1418069336.00445,pg_stat_all_indexes,889,AccessShareLock,t
1418069336.00445,pg_stat_all_tables,888,AccessShareLock,t
1418069336.00445,pg_stat_database,887,AccessShareLock,t
1418069336.00445,pg_statio_all_indexes,889,AccessShareLock,t
1418069336.00445,pg_statio_all_tables,888,AccessShareLock,t
1418069396.00707,lineitem,679,RowExclusiveLock,t
1418069396.00707,pg_locks,902,AccessShareLock,t
1418069396.00707,pg_stat_activity,901,AccessShareLock,t
1418069396.00707,pg_stat_all_indexes,899,AccessShareLock,t
1418069396.00707,pg_stat_all_tables,903,AccessShareLock,t
1418069396.00707,pg_stat_database,900,AccessShareLock,t
1418069396.00707,pg_statio_all_indexes,899,AccessShareLock,t
1418069396.00707,pg_statio_all_tables,903,AccessShareLock,t
1418069456.00954,lineitem,679,RowExclusiveLock,t
1418069456.00954,pg_locks,914,AccessShareLock,t
1418069456.00954,pg_stat_all_indexes,916,AccessShareLock,t
1418069456.00954,pg_stat_all_tables,913,AccessShareLock,t
1418069456.00954,pg_stat_database,915,AccessShareLock,t
1418069456.00954,pg_statio_all_indexes,916,AccessShareLock,t
1418069456.00954,pg_statio_all_tables,913,AccessShareLock,t
1418069516.01124,lineitem,679,ExclusiveLock,t
1418069516.01124,lineitem,679,RowExclusiveLock,t
1418069516.01124,pg_locks,926,AccessShareLock,t
1418069516.01124,pg_stat_all_indexes,929,AccessShareLock,t
1418069516.01124,pg_stat_all_tables,927,AccessShareLock,t
1418069516.01124,pg_stat_database,928,AccessShareLock,t
1418069516.01124,pg_statio_all_indexes,929,AccessShareLock,t
1418069516.01124,pg_statio_all_tables,927,AccessShareLock,t
1418069576.01576,lineitem,679,RowExclusiveLock,t
1418069576.01576,pg_locks,941,AccessShareLock,t
1418069576.01576,pg_stat_activity,943,AccessShareLock,t
1418069576.01576,pg_stat_all_indexes,939,AccessShareLock,t
1418069576.01576,pg_stat_all_tables,942,AccessShareLock,t
1418069576.01576,pg_stat_database,940,AccessShareLock,t
1418069576.01576,pg_statio_all_indexes,939,AccessShareLock,t
1418069576.01576,pg_statio_all_tables,942,AccessShareLock,t
1418069636.01765,lineitem,679,RowExclusiveLock,t
1418069636.01765,pg_locks,954,AccessShareLock,t
1418069636.01765,pg_stat_activity,956,AccessShareLock,t
1418069636.01765,pg_stat_all_indexes,952,AccessShareLock,t
1418069636.01765,pg_stat_all_tables,955,AccessShareLock,t
1418069636.01765,pg_stat_database,953,AccessShareLock,t
1418069636.01765,pg_statio_all_indexes,952,AccessShareLock,t
1418069636.01765,pg_statio_all_tables,955,AccessShareLock,t
1418069696.02072,lineitem,959,ShareLock,t
1418069696.02072,lineitem,960,AccessExclusiveLock,f
1418069696.02072,pg_locks,973,AccessShareLock,t
1418069696.02072,pg_stat_all_indexes,972,AccessShareLock,t
1418069696.02072,pg_stat_all_tables,970,AccessShareLock,t
1418069696.02072,pg_stat_database,969,AccessShareLock,t
1418069696.02072,pg_statio_all_indexes,972,AccessShareLock,t
1418069696.02072,pg_statio_all_tables,970,AccessShareLock,t
1418069756.01907,lineitem,960,AccessExclusiveLock,f
1418069756.01907,lineitem,959,ShareLock,t
1418069756.01907,pg_locks,1002,AccessShareLock,t
1418069756.01907,pg_stat_all_indexes,1005,AccessShareLock,t
1418069756.01907,pg_stat_database,1003,AccessShareLock,t
1418069756.01907,pg_statio_all_indexes,1005,AccessShareLock,t
1418069756.01907,pg_statio_all_tables,1004,AccessShareLock,t
1418069816.02355,lineitem,959,ShareLock,t
1418069816.02355,lineitem,960,AccessExclusiveLock,f
1418069816.02355,pg_locks,1017,AccessShareLock,t
1418069816.02355,pg_stat_all_indexes,1015,AccessShareLock,t
1418069816.02355,pg_stat_all_tables,1019,AccessShareLock,t
1418069816.02355,pg_stat_database,1016,AccessShareLock,t
1418069816.02355,pg_statio_all_indexes,1015,AccessShareLock,t
1418069816.02355,pg_statio_all_tables,1019,AccessShareLock,t
1418069876.02408,lineitem,959,ShareLock,t
1418069876.02408,lineitem,960,AccessExclusiveLock,f
1418069876.02408,pg_locks,1028,AccessShareLock,t
1418069876.02408,pg_stat_activity,1029,AccessShareLock,t
1418069936.02927,lineitem,959,ShareLock,t
1418069936.02927,lineitem,960,AccessExclusiveLock,f
1418069936.02927,pg_locks,1044,AccessShareLock,t
1418069936.02927,pg_stat_activity,1043,AccessShareLock,t
1418069936.02927,pg_stat_all_indexes,1041,AccessShareLock,t
1418069936.02927,pg_stat_all_tables,1045,AccessShareLock,t
1418069936.02927,pg_stat_database,1042,AccessShareLock,t
1418069936.02927,pg_statio_all_indexes,1041,AccessShareLock,t
1418069936.02927,pg_statio_all_tables,1045,AccessShareLock,t
1418069996.03008,lineitem,959,ShareLock,t
1418069996.03008,lineitem,960,AccessExclusiveLock,f
1418069996.03008,pg_locks,1056,AccessShareLock,t
1418069996.03008,pg_stat_activity,1057,AccessShareLock,t
1418069996.03008,pg_stat_all_indexes,1054,AccessShareLock,t
1418069996.03008,pg_stat_all_tables,1058,AccessShareLock,t
1418069996.03008,pg_stat_database,1055,AccessShareLock,t
1418069996.03008,pg_statio_all_indexes,1054,AccessShareLock,t
1418069996.03008,pg_statio_all_tables,1058,AccessShareLock,t
1418070056.03282,lineitem,959,ShareLock,t
1418070056.03282,lineitem,960,AccessExclusiveLock,f
1418070056.03282,pg_locks,1069,AccessShareLock,t
1418070056.03282,pg_stat_all_indexes,1071,AccessShareLock,t
1418070056.03282,pg_stat_all_tables,1067,AccessShareLock,t
1418070056.03282,pg_stat_database,1070,AccessShareLock,t
1418070056.03282,pg_statio_all_indexes,1071,AccessShareLock,t
1418070056.03282,pg_statio_all_tables,1067,AccessShareLock,t
1418070116.03619,lineitem,959,ShareLock,t
1418070116.03619,lineitem,960,AccessExclusiveLock,f
1418070116.03619,pg_locks,1083,AccessShareLock,t
1418070116.03619,pg_stat_all_indexes,1081,AccessShareLock,t
1418070116.03619,pg_stat_all_tables,1084,AccessShareLock,t
1418070116.03619,pg_stat_database,1080,AccessShareLock,t
1418070116.03619,pg_statio_all_indexes,1081,AccessShareLock,t
1418070116.03619,pg_statio_all_tables,1084,AccessShareLock,t
1418070176.03892,lineitem,960,AccessExclusiveLock,f
1418070176.03892,lineitem,959,ShareLock,t
1418070176.03892,pg_locks,1095,AccessShareLock,t
1418070176.03892,pg_stat_all_indexes,1098,AccessShareLock,t
1418070176.03892,pg_stat_all_tables,1094,AccessShareLock,t
1418070176.03892,pg_stat_database,1096,AccessShareLock,t
1418070176.03892,pg_statio_all_tables,1094,AccessShareLock,t
1418070236.04215,lineitem,959,ShareLock,t
1418070236.04215,lineitem,960,AccessExclusiveLock,f
1418070236.04215,pg_locks,1109,AccessShareLock,t
1418070236.04215,pg_stat_all_indexes,1111,AccessShareLock,t
1418070236.04215,pg_stat_all_tables,1108,AccessShareLock,t
1418070236.04215,pg_stat_database,1110,AccessShareLock,t
1418070236.04215,pg_statio_all_indexes,1111,AccessShareLock,t
1418070236.04215,pg_statio_all_tables,1108,AccessShareLock,t
1418070296.04217,lineitem,959,ShareLock,t
1418070296.04217,lineitem,960,AccessExclusiveLock,f
1418070296.04217,pg_locks,1121,AccessShareLock,t
1418070296.04217,pg_stat_activity,1120,AccessShareLock,t
1418070296.04217,pg_statio_all_tables,1122,AccessShareLock,t
1418070356.04752,lineitem,1135,ShareLock,f
1418070356.04752,lineitem,1133,ShareLock,f
1418070356.04752,lineitem,960,AccessExclusiveLock,t
1418070356.04752,lineitem,960,ShareLock,t
1418070356.04752,lineitem,1136,ShareLock,f
1418070356.04752,lineitem,1132,ShareLock,f
1418070356.04752,lineitem,1134,ShareLock,f
1418070356.04752,lineitem,1131,ShareLock,f
1418070356.04752,pg_locks,1151,AccessShareLock,t
1418070356.04752,pg_stat_all_indexes,1150,AccessShareLock,t
1418070356.04752,pg_stat_all_tables,1145,AccessShareLock,t
1418070356.04752,pg_stat_database,1152,AccessShareLock,t
1418070356.04752,pg_statio_all_indexes,1150,AccessShareLock,t
1418070356.04752,pg_statio_all_tables,1145,AccessShareLock,t
1418070416.05062,lineitem,1135,ShareLock,f
1418070416.05062,lineitem,1131,ShareLock,f
1418070416.05062,lineitem,1133,ShareLock,f
1418070416.05062,lineitem,960,AccessExclusiveLock,t
1418070416.05062,lineitem,960,ShareLock,t
1418070416.05062,lineitem,1136,ShareLock,f
1418070416.05062,lineitem,1132,ShareLock,f
1418070416.05062,lineitem,1134,ShareLock,f
1418070416.05062,pg_locks,1165,AccessShareLock,t
1418070416.05062,pg_stat_activity,1164,AccessShareLock,t
1418070416.05062,pg_stat_all_indexes,1161,AccessShareLock,t
1418070416.05062,pg_stat_all_tables,1163,AccessShareLock,t
1418070416.05062,pg_stat_database,1162,AccessShareLock,t
1418070416.05062,pg_statio_all_indexes,1161,AccessShareLock,t
1418070416.05062,pg_statio_all_tables,1163,AccessShareLock,t
1418070476.05279,lineitem,1135,ShareLock,f
1418070476.05279,lineitem,1133,ShareLock,f
1418070476.05279,lineitem,960,AccessExclusiveLock,t
1418070476.05279,lineitem,960,ShareLock,t
1418070476.05279,lineitem,1136,ShareLock,f
1418070476.05279,lineitem,1132,ShareLock,f
1418070476.05279,lineitem,1134,ShareLock,f
1418070476.05279,lineitem,1131,ShareLock,f
1418070476.05279,pg_locks,1176,AccessShareLock,t
1418070476.05279,pg_stat_all_indexes,1178,AccessShareLock,t
1418070476.05279,pg_stat_all_tables,1175,AccessShareLock,t
1418070476.05279,pg_stat_database,1177,AccessShareLock,t
1418070476.05279,pg_statio_all_indexes,1178,AccessShareLock,t
1418070476.05279,pg_statio_all_tables,1175,AccessShareLock,t
1418070536.05536,lineitem,1135,ShareLock,f
1418070536.05536,lineitem,1133,ShareLock,f
1418070536.05536,lineitem,960,AccessExclusiveLock,t
1418070536.05536,lineitem,960,ShareLock,t
1418070536.05536,lineitem,1136,ShareLock,f
1418070536.05536,lineitem,1132,ShareLock,f
1418070536.05536,lineitem,1134,ShareLock,f
1418070536.05536,lineitem,1131,ShareLock,f
1418070536.05536,pg_locks,1190,AccessShareLock,t
1418070536.05536,pg_stat_all_indexes,1189,AccessShareLock,t
1418070536.05536,pg_stat_all_tables,1187,AccessShareLock,t
1418070536.05536,pg_stat_database,1191,AccessShareLock,t
1418070536.05536,pg_statio_all_indexes,1189,AccessShareLock,t
1418070536.05536,pg_statio_all_tables,1187,AccessShareLock,t
1418070596.0595,lineitem,1135,ShareLock,f
1418070596.0595,lineitem,1131,ShareLock,f
1418070596.0595,lineitem,1133,ShareLock,f
1418070596.0595,lineitem,960,AccessExclusiveLock,t
1418070596.0595,lineitem,960,ShareLock,t
1418070596.0595,lineitem,1136,ShareLock,f
1418070596.0595,lineitem,1132,ShareLock,f
1418070596.0595,lineitem,1134,ShareLock,f
1418070596.0595,pg_locks,1200,AccessShareLock,t
1418070596.0595,pg_stat_activity,1201,AccessShareLock,t
1418070596.0595,pg_stat_all_indexes,1204,AccessShareLock,t
1418070596.0595,pg_stat_all_tables,1203,AccessShareLock,t
1418070596.0595,pg_stat_database,1202,AccessShareLock,t
1418070596.0595,pg_statio_all_indexes,1204,AccessShareLock,t
1418070596.0595,pg_statio_all_tables,1203,AccessShareLock,t
1418070656.05925,lineitem,1135,ShareLock,t
1418070656.05925,lineitem,1131,ShareLock,t
1418070656.05925,lineitem,1133,ShareLock,t
1418070656.05925,lineitem,1136,ShareLock,t
1418070656.05925,lineitem,1132,ShareLock,t
1418070656.05925,lineitem,1134,ShareLock,t
1418070656.05925,pg_locks,1241,AccessShareLock,t
1418070656.05925,pg_stat_all_indexes,1243,AccessShareLock,t
1418070656.05925,pg_stat_all_tables,1240,AccessShareLock,t
1418070656.05925,pg_stat_database,1242,AccessShareLock,t
1418070656.05925,pg_statio_all_indexes,1243,AccessShareLock,t
1418070656.05925,pg_statio_all_tables,1240,AccessShareLock,t
1418070716.06407,lineitem,1246,ShareUpdateExclusiveLock,t
1418070716.06407,lineitem_l_orderkey_brin_idx,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_orderkey_idx_brin_part1,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_orderkey_idx_brin_part2,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_partkey_l_quantity_brin_idx,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_partkey_l_quantity_idx,1246,RowExclusiveLock,t
1418070716.06407,lineitem_l_shipdate_l_suppkey_brin_idx,1246,RowExclusiveLock,t
1418070716.06407,pg_locks,1257,AccessShareLock,t
1418070716.06407,pg_stat_all_indexes,1256,AccessShareLock,t
1418070716.06407,pg_stat_all_tables,1258,AccessShareLock,t
1418070716.06407,pg_stat_database,1254,AccessShareLock,t
1418070716.06407,pg_statio_all_indexes,1256,AccessShareLock,t
1418070716.06407,pg_statio_all_tables,1258,AccessShareLock,t
1418070716.06407,pk_lineitem,1246,RowExclusiveLock,t
